[2021-10-15 09:06:38.617] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/lua/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/lua/package.json'
[2021-10-15 09:06:38.617] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/fsharp/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/fsharp/package.json'
[2021-10-15 09:06:38.617] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/hlsl/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/hlsl/package.json'
[2021-10-15 09:06:38.617] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/typescript-basics/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/typescript-basics/package.json'
[2021-10-15 09:06:38.617] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/merge-conflict/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/merge-conflict/package.json'
[2021-10-15 09:06:38.618] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/typescript-language-features/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/typescript-language-features/package.json'
[2021-10-15 09:06:38.618] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-monokai/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-monokai/package.json'
[2021-10-15 09:06:38.618] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/sql/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/sql/package.json'
[2021-10-15 09:06:38.618] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json'
[2021-10-15 09:06:38.618] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/powershell/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/powershell/package.json'
[2021-10-15 09:06:38.619] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json'
[2021-10-15 09:06:38.619] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-quietlight/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-quietlight/package.json'
[2021-10-15 09:06:45.965] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/json-language-features/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/json-language-features/package.json'
[2021-10-15 09:06:45.965] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/json/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/json/package.json'
[2021-10-15 09:06:45.966] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/yaml/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/yaml/package.json'
[2021-10-15 09:06:45.966] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/html-language-features/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/html-language-features/package.json'
[2021-10-15 09:06:45.967] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/cpp/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/cpp/package.json'
[2021-10-15 09:06:45.967] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/html/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/html/package.json'
[2021-10-15 09:06:45.967] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/docker/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/docker/package.json'
[2021-10-15 09:06:45.968] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/markdown-basics/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/markdown-basics/package.json'
[2021-10-15 09:06:45.968] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/javascript/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/javascript/package.json'
[2021-10-15 09:06:45.968] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/java/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/java/package.json'
[2021-10-15 09:06:45.969] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/log/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/log/package.json'
[2021-10-15 09:06:45.969] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/configuration-editing/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/configuration-editing/package.json'
[2021-10-15 09:06:45.969] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/debug-auto-launch/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/debug-auto-launch/package.json'
[2021-10-15 09:06:45.969] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/make/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/make/package.json'
[2021-10-15 09:06:45.970] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/less/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/less/package.json'
[2021-10-15 09:06:45.970] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/handlebars/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/handlebars/package.json'
[2021-10-15 09:06:45.970] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/go/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/go/package.json'
[2021-10-15 09:06:45.971] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/bat/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/bat/package.json'
[2021-10-15 09:06:45.971] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/css/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/css/package.json'
[2021-10-15 09:06:45.971] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/clojure/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/clojure/package.json'
[2021-10-15 09:06:45.972] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/coffeescript/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/coffeescript/package.json'
[2021-10-15 09:06:45.972] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/emmet/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/emmet/package.json'
[2021-10-15 09:06:45.973] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/groovy/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/groovy/package.json'
[2021-10-15 09:06:45.974] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/grunt/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/grunt/package.json'
[2021-10-15 09:06:45.974] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/gulp/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/gulp/package.json'
[2021-10-15 09:06:45.974] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/shellscript/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/shellscript/package.json'
[2021-10-15 09:06:45.975] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/jake/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/jake/package.json'
[2021-10-15 09:06:45.977] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/xml/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/xml/package.json'
[2021-10-15 09:06:45.978] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/ini/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/ini/package.json'
[2021-10-15 09:06:45.980] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/python/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/python/package.json'
[2021-10-15 09:06:45.980] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/csharp/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/csharp/package.json'
[2021-10-15 09:06:45.980] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/lua/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/lua/package.json'
[2021-10-15 09:06:45.980] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/fsharp/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/fsharp/package.json'
[2021-10-15 09:06:45.980] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/hlsl/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/hlsl/package.json'
[2021-10-15 09:06:45.981] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/typescript-basics/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/typescript-basics/package.json'
[2021-10-15 09:06:45.981] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/merge-conflict/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/merge-conflict/package.json'
[2021-10-15 09:06:45.981] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/typescript-language-features/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/typescript-language-features/package.json'
[2021-10-15 09:06:45.981] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-monokai/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-monokai/package.json'
[2021-10-15 09:06:45.981] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/sql/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/sql/package.json'
[2021-10-15 09:06:45.982] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json'
[2021-10-15 09:06:45.982] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/powershell/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/powershell/package.json'
[2021-10-15 09:06:45.982] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json'
[2021-10-15 09:06:45.983] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-quietlight/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-quietlight/package.json'
